
Player,Team,DYAR,Rk,YAR,Rk,DVOA,Rk,VOA,QBR,Rk,Pass,Yards,EYds,TD,FK,FL,INT,C%,DPI,ALEX
M.Ryan,ATL,"1,885",1,"1,765",1,39.1%,1,35.9%,83.3,1,573,"4,690","5,581",38,2,2,7,70.0%,10/171,-0.2
D.Brees,NO,"1,599",2,"1,473",2,23.3%,4,20.6%,72.0,5,694,"4,987","5,909",37,0,4,14,71.1%,5/87,1.5
K.Cousins,WAS,"1,317",3,"1,197",6,20.9%,5,18.0%,71.7,6,626,"4,738","5,102",25,3,2,12,67.3%,7/215,2.3
D.Prescott,DAL,"1,302",4,"1,220",5,31.6%,3,28.9%,81.5,3,483,"3,527","4,229",23,2,4,4,68.1%,4/77,1.1
T.Brady,NE,"1,286",5,"1,361",3,33.4%,2,36.0%,83.0,2,446,"3,447","4,072",28,2,0,2,67.8%,3/64,2.1
A.Rodgers,GB,"1,279",6,"1,299",4,18.7%,8,19.2%,76.9,4,644,"4,175","5,198",40,2,2,6,66.0%,7/239,3.8
D.Carr,OAK,"1,164",7,"1,038",7,19.8%,6,16.4%,62.1,16,575,"3,833","4,619",28,0,3,6,64.2%,19/287,1.0
B.Roethlisberger,PIT,807,8,790,8,12.1%,9,11.6%,66.3,10,524,"3,678","3,894",29,2,2,13,64.8%,8/121,4.2
M.Stafford,DET,761,9,768,9,7.2%,14,7.3%,70.5,8,628,"4,094","4,379",24,1,2,10,65.8%,13/162,1.7
A.Dalton,CIN,738,10,667,12,7.6%,12,5.8%,58.3,20,605,"3,915","4,165",18,5,2,8,65.0%,10/133,0.8
A.Luck,IND,719,11,671,11,7.3%,13,6.1%,71.2,7,586,"3,958","4,117",31,1,4,13,64.0%,10/230,1.5
A.Smith,KC,688,12,538,16,9.4%,11,4.9%,66.1,11,518,"3,372","3,635",16,1,4,8,67.3%,1/12,0.5
Player,Team,DYAR,Rk,YAR,Rk,DVOA,Rk,VOA,QBR,Rk,Pass,Yards,EYds,TD,FK,FL,INT,C%,DPI,ALEX
M.Mariota,TEN,681,13,719,10,11.1%,10,12.4%,64.9,12,473,"3,252","3,392",26,1,3,9,61.7%,11/154,2.4
R.Wilson,SEA,569,14,599,13,4.0%,15,4.8%,63.2,15,592,"3,941","3,804",21,5,1,11,65.4%,8/170,0.9
J.Winston,TB,556,15,539,15,3.6%,16,3.1%,64.7,13,603,"3,824","3,820",28,2,5,16,61.0%,11/155,3.3
S.Bradford,MIN,510,16,571,14,2.2%,17,3.8%,49.2,29,589,"3,576","3,753",20,4,5,5,71.7%,6/87,-1.2
P.Rivers,SD,498,17,435,18,1.4%,18,-0.2%,64.5,14,615,"4,120","3,872",33,4,5,21,60.7%,9/98,1.3
B.Hoyer,CHI,404,18,506,17,19.4%,7,27.1%,61.1,17,204,"1,435","1,616",6,1,1,0,67.8%,2/32,1.3
T.Taylor,BUF,275,19,347,19,-2.1%,19,0.3%,68.2,9,477,"2,831","2,806",17,0,1,6,61.8%,5/110,2.6
E.Manning,NYG,188,20,192,22,-6.5%,20,-6.4%,51.8,27,620,"3,882","3,558",26,3,4,15,63.2%,9/85,2.9
C.Palmer,ARI,137,21,283,20,-7.8%,23,-4.3%,58.9,18,643,"3,908","3,549",26,9,4,14,61.7%,11/143,-0.1
T.Siemian,DEN,137,22,214,21,-7.1%,21,-4.8%,55.8,21,516,"3,182","2,891",18,1,2,9,59.6%,11/147,1.5
B.Bortles,JAC,52,23,3,27,-10.0%,24,-11.1%,49.2,30,662,"3,704","3,636",23,1,6,16,59.0%,18/313,1.7
C.Kessler,CLE,50,24,80,25,-7.6%,22,-5.4%,49.6,28,218,"1,225","1,196",6,3,1,2,66.0%,3/66,-0.8
Player,Team,DYAR,Rk,YAR,Rk,DVOA,Rk,VOA,QBR,Rk,Pass,Yards,EYds,TD,FK,FL,INT,C%,DPI,ALEX
R.Tannehill,MIA,10,25,92,24,-10.8%,25,-7.7%,54.6,24,419,"2,743","2,155",19,6,2,12,67.6%,3/34,1.2
M.Barkley,CHI,4,26,127,23,-10.9%,26,-2.2%,39.2,33,222,"1,568","1,150",8,0,2,13,59.7%,4/104,4.3
C.Wentz,PHI,-36,27,12,26,-12.0%,27,-10.8%,52.8,26,641,"3,580","3,254",16,5,2,14,62.7%,6/100,0.2
C.Newton,CAR,-64,28,-64,29,-13.0%,28,-13.0%,53.1,25,543,"3,223","2,654",19,0,2,14,53.4%,6/95,3.5
C.Kaepernick,SF,-145,29,-99,30,-17.5%,30,-15.5%,55.2,23,366,"2,044","1,636",16,6,1,4,59.4%,2/22,0.4
J.Flacco,BAL,-155,30,-44,28,-14.6%,29,-12.1%,58.4,19,700,"4,055","3,422",20,2,3,14,65.7%,6/119,0.8
C.Keenum,LARM,-183,31,-174,31,-19.5%,31,-19.1%,43.4,32,345,"2,054","1,507",9,2,1,11,60.9%,5/84,0.7
R.Fitzpatrick,NYJ,-319,32,-329,32,-22.6%,32,-23.0%,45.4,31,423,"2,601","1,807",12,6,1,16,56.7%,8/131,1.7
B.Osweiler,HOU,-558,33,-502,33,-26.8%,33,-25.3%,55.3,22,535,"2,739","2,105",15,3,1,15,59.5%,8/110,0.6
J.Goff,LARM,-881,34,-819,34,-74.8%,34,-70.3%,22.2,34,230,876,-85,5,3,2,7,54.9%,2/22,-2.5
